127.0.0.1 - - [13/Aug/2023:21:23:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/css/main/footer.css HTTP/1.1" 200 4149
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/css/main/reset.css HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/css/main/alarm.css HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/css/main/header.css HTTP/1.1" 200 5352
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/css/main/main.css HTTP/1.1" 200 23118
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/ HTTP/1.1" 200 23098
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/js/main/alarm.js HTTP/1.1" 200 5518
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/js/main/header.js HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:47 +0900] "GET /giboo/resources/js/main/main.js HTTP/1.1" 200 5570
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources/images/hunnyLogo/hunnyLogoFlat.png HTTP/1.1" 200 10741
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources/images/kakao.jpg HTTP/1.1" 200 18925
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources//images/facebook.jpg HTTP/1.1" 200 12287
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources/images/main_img/tag_box.png HTTP/1.1" 200 4669
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources/images/main_img/bunny_01.png HTTP/1.1" 200 752834
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources//images/youtube.png HTTP/1.1" 200 2401
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources/images/main_img/star_icon.png HTTP/1.1" 200 799
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources/images/main_img/img_bee.png HTTP/1.1" 200 103958
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:48 +0900] "GET /giboo/resources/images/main_img/re_img.png HTTP/1.1" 200 287226
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:49 +0900] "GET /giboo/resources/images/video/hug.mp4 HTTP/1.1" 206 1435291
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:49 +0900] "GET /giboo/resources/images/video/seoul.mp4 HTTP/1.1" 206 4680620
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:49 +0900] "GET /giboo/resources/images/video/summer.mp4 HTTP/1.1" 206 13061200
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:54 +0900] "GET /giboo/volMoney HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:23:59 +0900] "GET /giboo/volCount HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230708150822_83716.webp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230707183701_13257.jpg HTTP/1.1" 200 55492
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230707234410_55355.jpg HTTP/1.1" 200 6539
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/main HTTP/1.1" 200 51810
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230708134604_96662.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230708134432_68636.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230708134320_58323.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230710072824_70641.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230708143138_02853.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230708143238_16561.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Aug/2023:21:24:06 +0900] "GET /giboo/resources/images/fileupload/20230708143439_66500.jpg HTTP/1.1" 404 721
